Comment,Designator,Footprint,LCSC
100nF,"C11,C12,C14,C15,C7,C9",C_0603_1608Metric,C14663
SS210,D5,D_SMA,C14996
1uF,"C10,C8",C_0603_1608Metric,C15849
10uF,C6,C_0805_2012Metric,C15850
20p,"C1,C18",C_0603_1608Metric,C1648
Q_NMOS_GDS,"Q1,Q2,Q3,Q4,Q5,Q6",DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm,C180959
33nf,C19,C_0603_1608Metric,C21117
1N4148WS,"D1,D10,D11,D12,D2,D7",D_SOD-323,C2128
1.5k,"R23,R24,R44,R50",R_0603_1608Metric,C22843
LED,D4,LED_0805_2012Metric,C2296
220,"R5,R6,R7",R_0603_1608Metric,C22962
LED,D3,LED_0805_2012Metric,C2297
33,"R1,R13,R17,R18,R25,R4",R_0603_1608Metric,C23140
100k,R8,R_0603_1608Metric,C25803
10k,R3,R_0603_1608Metric,C25804
11k,"R29,R53",R_0603_1608Metric,C25950
22k,"R2,R26,R27,R41,R47",R_0603_1608Metric,C27920
1uF,"C16,C24,C27",C_0805_2012Metric,C28323
SW_MEC_5G,SW1,SW_SPST_PTS810,C318938
LED,D6,LED_0805_2012Metric,C34499
4mΩ,"R10,R14,R15,R9",R_2512_6332Metric,C375693
AS5045B,U3,SSOP-16_5.3x6.2mm_P0.65mm,C415804
18uh,L2,L_Bourns-SRN6028,C467143
220nF,"C13,C2,C26,C28",C_0805_2012Metric,C5378
2.2uf,"C20,C21,C23",C_1206_3216Metric,C650969
220uF,"C31,C4,C5",CP_Elec_8x10,C72524
24mhz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
Conn_01x02_Female,J4,AMASS_XT60-F_1x02_P7.20mm_Vertical,
Conn_01x06_Male,J2,PinSocket_1x06_P2.54mm_Vertical,
Conn_01x04_Female,J6,PinHeader_1x04_P2.54mm_Vertical,
BAT30k,D8,D_SOD-523,
Jumper_2_Bridged,JP8,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP1,TestPoint_Pad_D2.0mm,
NetTie_2,NT1,NetTie-2_SMD_Pad0.5mm,
72.3k,R37,R_0603_1608Metric,
N.M,C22,C_0603_1608Metric,
3.01k,R39,R_0603_1608Metric,
Conn_01x01,J3,connector_wire_esc,
TestPoint,TP2,TestPoint_Pad_D2.0mm,
N.M.,R16,R_0603_1608Metric,
N.M.,R28,R_0603_1608Metric,
STSPIN32G4,IC1,STSPIN32G4,
Jumper_2_Bridged,JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
Jumper_2_Bridged,JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
Jumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
Jumper_NC_Dual,JP3,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,
TestPoint,TP9,TestPoint_Pad_D1.5mm,
TestPoint,TP8,TestPoint_Pad_D1.5mm,
Conn_01x01,J8,connector_wire_esc,
Conn_01x01,J9,connector_wire_esc,
NetTie_2,NT2,NetTie-2_SMD_Pad0.5mm,
N.M.,R20,R_0603_1608Metric,
N.M.,R19,R_0603_1608Metric,
N.M.,R12,R_0603_1608Metric,
N.M.,R11,R_0603_1608Metric,
N.M,C29,C_0603_1608Metric,
Conn_01x02,J7,PinHeader_1x02_P2.54mm_Vertical,
TestPoint,TP4,TestPoint_Pad_D1.0mm,
TestPoint,TP3,TestPoint_Pad_D1.0mm,
