Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,20p,C_0603_1608Metric,-29.21,6.731,-90.0,top
C2,220nF,C_0805_2012Metric,-34.29,5.461,-90.0,top
C4,220uF,CP_Elec_8x10,-17.22,-8.128,180.0,top
C5,220uF,CP_Elec_8x10,-17.145,0.762,180.0,top
C6,10uF,C_0805_2012Metric,-29.845,10.16,0.0,top
C7,100nF,C_0603_1608Metric,-30.988,7.112,-90.0,top
C8,1uF,C_0603_1608Metric,-35.179,-3.924,-90.0,top
C9,100nF,C_0603_1608Metric,-33.528,-3.924,-90.0,top
C10,1uF,C_0603_1608Metric,-39.243,-3.924,-90.0,top
C11,100nF,C_0603_1608Metric,-37.719,-3.924,-90.0,top
C12,100nF,C_0603_1608Metric,-32.512,7.112,-90.0,top
C13,220nF,C_0805_2012Metric,0.0,20.066,-90.0,top
C14,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-58.166,7.62,0.0,top
C15,100nF,C_0603_1608Metric,-47.117,9.525,180.0,top
C16,1uF,C_0805_2012Metric,-44.704,5.588,0.0,top
C18,20p,C_0603_1608Metric,-24.13,6.604,90.0,top
C19,33nf,C_0603_1608Metric,-31.496,-12.192,0.0,top
C20,2.2uf,C_1206_3216Metric,-2.54,20.574,90.0,top
C21,2.2uf,C_1206_3216Metric,-5.08,20.574,90.0,top
C22,N.M,C_0603_1608Metric,-27.94,-0.241,-90.0,top
C23,2.2uf,C_1206_3216Metric,-16.461,-14.224,180.0,top
C24,1uF,C_0805_2012Metric,-44.704,2.54,0.0,top
C26,220nF,C_0805_2012Metric,2.032,20.066,-90.0,top
C27,1uF,C_0805_2012Metric,-44.704,-0.508,0.0,top
C28,220nF,C_0805_2012Metric,4.064,20.066,-90.0,top
C29,N.M,C_0603_1608Metric,-26.416,-6.35,-90.0,top
C31,220uF,CP_Elec_8x10,-17.22,9.652,180.0,top
D1,1N4148WS,D_SOD-323,-7.62,5.715,0.0,top
D2,1N4148WS,D_SOD-323,1.206,-4.572,0.0,top
D3,LED,LED_0805_2012Metric,-47.498,-15.011,180.0,top
D4,LED,LED_0805_2012Metric,-47.498,-12.979,180.0,top
D5,SS210,D_SMA,-39.116,13.97,90.0,top
D6,LED,LED_0805_2012Metric,-47.498,-10.922,180.0,top
D7,1N4148WS,D_SOD-323,-6.781,-4.549,0.0,top
D8,BAT30k,D_SOD-523,-31.61,-10.668,180.0,top
D10,1N4148WS,D_SOD-323,0.635,5.715,0.0,top
D11,1N4148WS,D_SOD-323,-6.985,15.875,0.0,top
D12,1N4148WS,D_SOD-323,2.476,15.875,0.0,top
IC1,STSPIN32G4,STSPIN32G4,-35.687,4.077,180.0,bottom
J2,Conn_01x06_Male,PinSocket_1x06_P2.54mm_Vertical,-44.425,21.615,90.0,top
J3,Conn_01x01,connector_wire_esc,18.796,-0.254,0.0,top
J4,Conn_01x02_Female,AMASS_XT60-F_1x02_P7.20mm_Vertical,-12.7,19.327,180.0,top
J6,Conn_01x04_Female,PinHeader_1x04_P2.54mm_Vertical,-37.084,-14.732,90.0,top
J7,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,-52.065,10.668,-90.0,top
J8,Conn_01x01,connector_wire_esc,18.542,10.16,0.0,top
J9,Conn_01x01,connector_wire_esc,18.288,-10.414,0.0,top
L2,18uh,L_Bourns-SRN6028,-33.528,15.05,90.0,top
Q1,Q_NMOS_GDS,DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm,-7.62,-10.462,180.0,top
Q2,Q_NMOS_GDS,DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm,2.388,-10.462,180.0,top
Q3,Q_NMOS_GDS,DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm,-7.588,-0.135,180.0,top
Q4,Q_NMOS_GDS,DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm,2.572,-0.23,180.0,top
Q5,Q_NMOS_GDS,DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm,-7.604,10.025,180.0,top
Q6,Q_NMOS_GDS,DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm,2.54,10.025,180.0,top
R1,33,R_0603_1608Metric,-7.62,3.81,180.0,top
