Comment,Designator,Footprint,LCSC
Conn_01x03_MountingPin,J8,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,C145955
Conn_01x06_MountingPin,J9,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,C145958
20p,"C18,C4",C_0402_1005Metric,C1554
33nf,C19,C_0402_1005Metric,C1585
10uf 25v,"C1,C6",C_0805_2012Metric,C15850
USB_C_Receptacle_USB2.0,J14,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C165948
Q_NMOS_GDS,"Q1,Q2,Q3,Q4,Q5,Q6",DFN-8-1EP_6x5mm_P1.27mm_EP4x4mm,C180959
SS210,D5,D_SOD-323,C191023
1N4148WS,"D1,D10,D11,D12,D2,D7",D_SOD-323,C2128
LED,D6_Yellow1,LED_0805_2012Metric,C2296
LED,D3,LED_0805_2012Metric,C2297
5.1k,R20,R_0402_1005Metric,C23186
110,"R7,R98",R_0402_1005Metric,C25079
220,"R5,R6",R_0402_1005Metric,C25091
33,"R1,R13,R17,R18,R25,R4",R_0402_1005Metric,C25105
10k,"R11,R2,R3,R99",R_0402_1005Metric,C25744
22k,"R26,R27,R41,R47",R_0402_1005Metric,C25768
1.5k,"R23,R24,R44,R50",R_0402_1005Metric,C25867
5.1k,R19,R_0402_1005Metric,C25905
PRTR5V0U2X,D13,SOT-143,C2827688
1uF,"C16,C24,C27",C_0805_2012Metric,C28323
STSPIN32G4,IC1,STSPIN32G4,C2858620
BAT30k,D8,D_SOD-523,C2926449
100nF,"C11,C41,C7,C9",C_0402_1005Metric,C307331
4mΩ,"R10,R15",R_2512_6332Metric,C375693
18uh,L2,L_1812_4532Metric,C394124
11k,"R29,R53",R_0402_1005Metric,C409665
Conn_01x08_MountingPin,J3,JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical,C49633
1uF,"C10,C14,C8",C_0402_1005Metric,C52923
220nF,C2,C_0805_2012Metric,C5378
TC1017-xCT,U3,SOT-23-5,C626434
2.2uf,"C20,C21,C23,C26,C3",C_1206_3216Metric,C650969
220uF,C31,CP_Elec_8x10,C72524
LED,D4_white1,LED_0805_2012Metric,C84256
24mhz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
TJA1057T/1Z,U2,SOIC-8_3.9x4.9mm_P1.27mm,C961484
Conn_01x02_Female,J4,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
Jumper_2_Bridged,JP8,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
NetTie_2,NT1,NetTie-2_SMD_Pad0.5mm,
72.3k,R37,R_0402_1005Metric,
3.01k,R39,R_0402_1005Metric,
Jumper_2_Bridged,JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
Jumper_3_Bridged12,JP1,SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm_NumberLabels,
Jumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
NetTie_2,NT2,NetTie-2_SMD_Pad0.5mm,
MountingHole,H3,MountingHole_3.2mm_M3_ISO14580,
MountingHole,H2,MountingHole_3.2mm_M3_ISO14580,
MountingHole,H1,MountingHole_3.2mm_M3_ISO14580,
MountingHole,H4,MountingHole_3.2mm_M3_ISO14580,
Conn_01x03_Pin,J1,flat_3,
Conn_01x03_MountingPin,J5,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,
